packageName,property,expected,actual,group
ch.ethz.rse.integration.tests.Test_Loop_Easy2,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Long,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Long,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Long_2,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Long_2,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Long_3,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Long_3,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Long_4,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Long_4,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Long_4,OVERALL_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration_2,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration_2,ITEM_PROFIT,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Loop_Unused,NON_NEGATIVE,UNSAFE,UNSAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Nested_If,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Nested_If_2,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Nested_If_2,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Nonterm_End,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Nonterm_End_2,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Nonterm_End_2,ITEM_PROFIT,SAFE,SAFE,codecraftwizards
ch.ethz.rse.integration.tests.Test_Nonterm_Unreachable,NON_NEGATIVE,SAFE,SAFE,codecraftwizards
